player_name,Danielle van de Donk,Jill Roord,Jordan Nobbs,Katie McCabe,Kim Little,Leah Williamson,Lia Wälti,Louise Quinn,Manuela Zinsberger,Viktoria Schnaderbeck,Vivianne Miedema
Danielle van de Donk,0.0,0.07142857142857142,0.35714285714285715,0.0,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.0,0.0,0.14285714285714285,0.07142857142857142
Jill Roord,0.05263157894736842,0.0,0.05263157894736842,0.21052631578947367,0.2631578947368421,0.05263157894736842,0.15789473684210525,0.0,0.0,0.10526315789473684,0.10526315789473684
Jordan Nobbs,0.2631578947368421,0.10526315789473684,0.0,0.15789473684210525,0.10526315789473684,0.0,0.15789473684210525,0.05263157894736842,0.0,0.10526315789473684,0.05263157894736842
Katie McCabe,0.0,0.19230769230769232,0.23076923076923078,0.0,0.11538461538461539,0.038461538461538464,0.07692307692307693,0.19230769230769232,0.07692307692307693,0.0,0.07692307692307693
Kim Little,0.13636363636363635,0.09090909090909091,0.09090909090909091,0.22727272727272727,0.0,0.045454545454545456,0.2727272727272727,0.0,0.0,0.13636363636363635,0.0
Leah Williamson,0.0,0.0,0.038461538461538464,0.0,0.07692307692307693,0.0,0.15384615384615385,0.19230769230769232,0.07692307692307693,0.4230769230769231,0.038461538461538464
Lia Wälti,0.25,0.07142857142857142,0.03571428571428571,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.17857142857142858,0.0,0.03571428571428571,0.0
Louise Quinn,0.0,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.19230769230769232,0.07692307692307693,0.0,0.23076923076923078,0.0,0.038461538461538464
Manuela Zinsberger,0.058823529411764705,0.11764705882352941,0.0,0.058823529411764705,0.0,0.5294117647058824,0.0,0.23529411764705882,0.0,0.0,0.0
Viktoria Schnaderbeck,0.21739130434782608,0.13043478260869565,0.17391304347826086,0.0,0.13043478260869565,0.13043478260869565,0.08695652173913043,0.0,0.043478260869565216,0.0,0.08695652173913043
Vivianne Miedema,0.375,0.25,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0
