player_name,Bethany Mead,Caitlin Jade Foord,Carlotte Wubben-Moy,Jill Roord,Katie McCabe,Kim Little,Leah Williamson,Leonie Maier,Lia Wälti,Manuela Zinsberger,Vivianne Miedema
Bethany Mead,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.5,0.0,0.0,0.2
Caitlin Jade Foord,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0
Carlotte Wubben-Moy,0.0,0.0,0.0,0.06976744186046512,0.37209302325581395,0.0,0.18604651162790697,0.0,0.11627906976744186,0.2558139534883721,0.0
Jill Roord,0.0,0.05,0.15,0.0,0.1,0.1,0.05,0.2,0.2,0.1,0.05
Katie McCabe,0.0,0.25,0.3333333333333333,0.20833333333333334,0.0,0.041666666666666664,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333
Kim Little,0.38461538461538464,0.15384615384615385,0.0,0.0,0.07692307692307693,0.0,0.23076923076923078,0.07692307692307693,0.0,0.0,0.07692307692307693
Leah Williamson,0.04878048780487805,0.024390243902439025,0.5121951219512195,0.0,0.0,0.024390243902439025,0.0,0.14634146341463414,0.024390243902439025,0.1951219512195122,0.024390243902439025
Leonie Maier,0.2916666666666667,0.0,0.0,0.125,0.0,0.041666666666666664,0.375,0.0,0.08333333333333333,0.08333333333333333,0.0
Lia Wälti,0.06666666666666667,0.2,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.0,0.13333333333333333,0.0
Manuela Zinsberger,0.0,0.0,0.3448275862068966,0.0,0.10344827586206896,0.0,0.4827586206896552,0.06896551724137931,0.0,0.0,0.0
Vivianne Miedema,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0
