player_name,Bethany Mead,Carlotte Wubben-Moy,Danielle van de Donk,Jill Roord,Katie McCabe,Leah Williamson,Lia Wälti,Lisa Evans,Lydia Grace Yilkari Williams,Noelle Maritz,Vivianne Miedema
Bethany Mead,0.0,0.23529411764705882,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.0,0.11764705882352941,0.058823529411764705
Carlotte Wubben-Moy,0.07017543859649122,0.0,0.03508771929824561,0.0,0.2631578947368421,0.08771929824561403,0.21052631578947367,0.03508771929824561,0.24561403508771928,0.03508771929824561,0.017543859649122806
Danielle van de Donk,0.0,0.047619047619047616,0.0,0.09523809523809523,0.047619047619047616,0.2857142857142857,0.19047619047619047,0.09523809523809523,0.0,0.19047619047619047,0.047619047619047616
Jill Roord,0.1724137931034483,0.0,0.10344827586206896,0.0,0.10344827586206896,0.0,0.10344827586206896,0.06896551724137931,0.0,0.3103448275862069,0.13793103448275862
Katie McCabe,0.07317073170731707,0.36585365853658536,0.04878048780487805,0.14634146341463414,0.0,0.04878048780487805,0.0975609756097561,0.024390243902439025,0.04878048780487805,0.024390243902439025,0.12195121951219512
Leah Williamson,0.045454545454545456,0.06818181818181818,0.09090909090909091,0.09090909090909091,0.11363636363636363,0.0,0.045454545454545456,0.0,0.25,0.25,0.045454545454545456
Lia Wälti,0.05555555555555555,0.25,0.05555555555555555,0.027777777777777776,0.2222222222222222,0.16666666666666666,0.0,0.0,0.05555555555555555,0.1111111111111111,0.05555555555555555
Lisa Evans,0.14285714285714285,0.0,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0,0.0,0.2857142857142857,0.0
Lydia Grace Yilkari Williams,0.0,0.40540540540540543,0.02702702702702703,0.0,0.16216216216216217,0.21621621621621623,0.10810810810810811,0.0,0.0,0.05405405405405406,0.02702702702702703
Noelle Maritz,0.06666666666666667,0.0,0.044444444444444446,0.2,0.0,0.24444444444444444,0.15555555555555556,0.2,0.022222222222222223,0.0,0.06666666666666667
Vivianne Miedema,0.125,0.0,0.0,0.0,0.375,0.0,0.375,0.0,0.0,0.125,0.0
